# TEMPERATURE = 2.500000e+01
# X W(GMIDN) W(INN) W(CGSN) W(CGSON) W(CGDON) W(CBDN) W(VEAN) W(VDSATN)
4.50000000000e-01 1.62093545919e+01 9.37214094379e-07 7.39972722274e-03 2.12749866396e-10 2.07118797606e-10 3.32251929460e-10 8.88033595123e+00 7.88258139915e-02
4.60000000000e-01 1.55809941626e+01 1.09854259458e-06 7.59499388703e-03 2.12753598892e-10 2.07144837013e-10 3.32311831511e-10 9.26622529072e+00 8.34751324402e-02
4.70000000000e-01 1.49781493533e+01 1.27972877138e-06 7.77678740688e-03 2.12757108736e-10 2.07171347407e-10 3.32373452799e-10 9.66572482884e+00 8.83546810749e-02
4.80000000000e-01 1.44005315980e+01 1.48201391120e-06 7.94572701961e-03 2.12760411430e-10 2.07198342443e-10 3.32436576703e-10 1.00779045007e+01 9.34550125896e-02
4.90000000000e-01 1.38475065858e+01 1.70658633153e-06 8.10249586366e-03 2.12763521271e-10 2.07225836280e-10 3.32501021272e-10 1.05019087676e+01 9.87665490041e-02
5.00000000000e-01 1.33182556251e+01 1.95456908449e-06 8.24781577542e-03 2.12766451462e-10 2.07253843604e-10 3.32566636582e-10 1.09369371696e+01 1.04279610375e-01
5.10000000000e-01 1.28118897503e+01 2.22700910326e-06 8.38242632003e-03 2.12769214193e-10 2.07282379645e-10 3.32633301911e-10 1.13822238618e+01 1.09984450866e-01
5.20000000000e-01 1.23275212306e+01 2.52486832157e-06 8.50706782833e-03 2.12771820729e-10 2.07311460203e-10 3.32700922862e-10 1.18370192941e+01 1.15871307455e-01
5.30000000000e-01 1.18643013535e+01 2.84901711117e-06 8.62246808192e-03 2.12774281482e-10 2.07341101664e-10 3.32769428525e-10 1.23005758492e+01 1.21930460980e-01
5.40000000000e-01 1.14214343409e+01 3.20023018114e-06 8.72933221746e-03 2.12776606086e-10 2.07371321028e-10 3.32838768782e-10 1.27721381514e+01 1.28152305891e-01
5.50000000000e-01 1.09981763208e+01 3.57918489637e-06 8.82833539575e-03 2.12778803454e-10 2.07402135928e-10 3.32908911775e-10 1.32509379493e+01 1.34527423624e-01
5.60000000000e-01 1.05938264290e+01 3.98646182126e-06 8.92011778800e-03 2.12780881843e-10 2.07433564660e-10 3.32979841590e-10 1.37361929784e+01 1.41046654435e-01
5.70000000000e-01 1.02077150775e+01 4.42254718819e-06 9.00528145977e-03 2.12782848901e-10 2.07465626200e-10 3.33051556162e-10 1.42271089519e+01 1.47701163293e-01
5.80000000000e-01 9.83919258620e+00 4.88783693003e-06 9.08438877404e-03 2.12784711718e-10 2.07498340237e-10 3.33124065408e-10 1.47228837640e+01 1.54482496611e-01
5.90000000000e-01 9.48761991175e+00 5.38264189575e-06 9.15796198139e-03 2.12786476872e-10 2.07531727194e-10 3.33197389576e-10 1.52227130431e+01 1.61382627859e-01
6.00000000000e-01 9.15236216260e+00 5.90719388010e-06 9.22648371383e-03 2.12788150469e-10 2.07565808256e-10 3.33271557805e-10 1.57257963196e+01 1.68393991264e-01
6.10000000000e-01 8.83278491371e+00 6.46165213366e-06 9.29039814474e-03 2.12789738179e-10 2.07600605395e-10 3.33346606881e-10 1.62313432259e+01 1.75509503730e-01
6.20000000000e-01 8.52825295231e+00 7.04611006703e-06 9.35011262034e-03 2.12791245270e-10 2.07636141396e-10 3.33422580168e-10 1.67385793077e+01 1.82722575825e-01
6.30000000000e-01 8.23813091648e+00 7.66060191721e-06 9.40599960570e-03 2.12792676643e-10 2.07672439881e-10 3.33499526700e-10 1.72467511638e+01 1.90027113096e-01
6.40000000000e-01 7.96178525643e+00 8.30510919813e-06 9.45839882151e-03 2.12794036856e-10 2.07709525335e-10 3.33577500416e-10 1.77551307572e+01 1.97417509209e-01
6.50000000000e-01 7.69858699846e+00 8.97956680686e-06 9.50761947529e-03 2.12795330152e-10 2.07747423131e-10 3.33656559522e-10 1.82630188316e+01 2.04888632499e-01
6.60000000000e-01 7.44791487989e+00 9.68386870094e-06 9.55394251429e-03 2.12796560485e-10 2.07786159543e-10 3.33736765962e-10 1.87697474391e+01 2.12435807436e-01
6.70000000000e-01 7.20915852495e+00 1.04178730983e-05 9.59762284583e-03 2.12797731539e-10 2.07825761774e-10 3.33818184988e-10 1.92746816316e+01 2.20054792407e-01
6.80000000000e-01 6.98172142774e+00 1.11814071799e-05 9.63889148654e-03 2.12798846750e-10 2.07866257967e-10 3.33900884813e-10 1.97772203994e+01 2.27741755016e-01
6.90000000000e-01 6.76502359216e+00 1.19742712965e-05 9.67795761383e-03 2.12799909327e-10 2.07907677219e-10 3.33984936337e-10 2.02767969547e+01 2.35493245954e-01
7.00000000000e-01 6.55850374576e+00 1.27962426989e-05 9.71501050244e-03 2.12800922263e-10 2.07950049584e-10 3.34070412934e-10 2.07728784636e+01 2.43306172271e-01
7.10000000000e-01 6.36162109554e+00 1.36470788170e-05 9.75022133628e-03 2.12801888355e-10 2.07993406083e-10 3.34157390300e-10 2.12649653280e+01 2.51177770710e-01
7.20000000000e-01 6.17385662964e+00 1.45265201251e-05 9.78374489122e-03 2.12802810221e-10 2.08037778690e-10 3.34245946339e-10 2.17525901110e+01 2.59105581629e-01
7.30000000000e-01 5.99471399313e+00 1.54342926298e-05 9.81572108862e-03 2.12803690305e-10 2.08083200326e-10 3.34336161093e-10 2.22353161908e+01 2.67087423868e-01
7.40000000000e-01 5.82371998027e+00 1.63701100205e-05 9.84627642239e-03 2.12804530898e-10 2.08129704830e-10 3.34428116708e-10 2.27127362167e+01 2.75121370835e-01
7.50000000000e-01 5.66042469296e+00 1.73336755194e-05 9.87552526423e-03 2.12805334145e-10 2.08177326927e-10 3.34521897425e-10 2.31844704300e+01 2.83205727968e-01
7.60000000000e-01 5.50440141703e+00 1.83246834696e-05 9.90357105334e-03 2.12806102054e-10 2.08226102179e-10 3.34617589603e-10 2.36501649007e+01 2.91339011681e-01
7.70000000000e-01 5.35524626676e+00 1.93428206927e-05 9.93050737749e-03 2.12806836510e-10 2.08276066919e-10 3.34715281757e-10 2.41094897239e+01 2.99519929817e-01
7.80000000000e-01 5.21257764446e+00 2.03877676503e-05 9.95641895294e-03 2.12807539280e-10 2.08327258167e-10 3.34815064620e-10 2.45621372081e+01 3.07747363613e-01
7.90000000000e-01 5.07603555714e+00 2.14591994334e-05 9.98138251078e-03 2.12808212022e-10 2.08379713522e-10 3.34917031223e-10 2.50078200814e+01 3.16020351138e-01
8.00000000000e-01 4.94528082718e+00 2.25567866088e-05 1.00054675970e-02 2.12808856294e-10 2.08433471033e-10 3.35021276984e-10 2.54462697364e+01 3.24338072149e-01
8.10000000000e-01 4.81999422850e+00 2.36801959416e-05 1.00287372939e-02 2.12809473561e-10 2.08488569031e-10 3.35127899818e-10 2.58772345262e+01 3.32699834280e-01
8.20000000000e-01 4.69987557469e+00 2.48290910140e-05 1.00512488695e-02 2.12810065197e-10 2.08545045938e-10 3.35237000249e-10 2.63004781227e+01 3.41105060503e-01
8.30000000000e-01 4.58464278095e+00 2.60031327580e-05 1.00730543614e-02 2.12810632498e-10 2.08602940030e-10 3.35348681547e-10 2.67157779433e+01 3.49553277750e-01
8.40000000000e-01 4.47403091741e+00 2.72019799150e-05 1.00942011017e-02 2.12811176680e-10 2.08662289151e-10 3.35463049861e-10 2.71229236480e+01 3.58044106631e-01
8.50000000000e-01 4.36779126801e+00 2.84252894358e-05 1.01147321882e-02 2.12811698892e-10 2.08723130392e-10 3.35580214369e-10 2.75217157099e+01 3.66577252144e-01
8.60000000000e-01 4.26569040554e+00 2.96727168308e-05 1.01346869072e-02 2.12812200214e-10 2.08785499695e-10 3.35700287437e-10 2.79119640574e+01 3.75152495306e-01
8.70000000000e-01 4.16750929144e+00 3.09439164800e-05 1.01541011127e-02 2.12812681664e-10 2.08849431405e-10 3.35823384786e-10 2.82934867862e+01 3.83769685614e-01
8.80000000000e-01 4.07304240621e+00 3.22385419091e-05 1.01730075666e-02 2.12813144202e-10 2.08914957749e-10 3.35949625665e-10 2.86661089380e+01 3.92428734269e-01
8.90000000000e-01 3.98209691473e+00 3.35562460400e-05 1.01914362436e-02 2.12813588735e-10 2.08982108241e-10 3.36079133036e-10 2.90296613429e+01 4.01129608087e-01
9.00000000000e-01 3.89449186941e+00 3.48966814178e-05 1.02094146047e-02 2.12814016118e-10 2.09050908994e-10 3.36212033764e-10 2.93839795205e+01 4.09872324042e-01
9.10000000000e-01 3.81005745266e+00 3.62595004224e-05 1.02269678420e-02 2.12814427158e-10 2.09121381956e-10 3.36348458823e-10 2.97289026354e+01 4.18656944358e-01
9.20000000000e-01 3.72863425951e+00 3.76443554644e-05 1.02441190981e-02 2.12814822620e-10 2.09193544038e-10 3.36488543500e-10 3.00642725017e+01 4.27483572126e-01
9.30000000000e-01 3.65007262023e+00 3.90508991706e-05 1.02608896636e-02 2.12815203224e-10 2.09267406159e-10 3.36632427617e-10 3.03899326334e+01 4.36352347367e-01
